country,order_value_eur,cost,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Portugal,111639.29,97204.33,2019-10-28,Smartphones,"Keeling, Monahan And Pollich",Celine Tumasian,Hortense Gerring,Pc,82-4653018
Sweden,74273.54,61981.27,2020-03-28,Beauty,"Swaniawski, Runolfsson And Green",Maxie Marrow,Caro Morfield,Pc,29-1001593
Portugal,95566.43,80342.7,2019-05-07,Clothing,Hessel-Stiedemann,Celine Tumasian,Hortense Gerring,Pc,59-5568557
France,28783.05,24776.45,2019-03-29,Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,Pc,12-1249283
Uk,124414.74,98959.48,2019-06-13,Outdoors,Labadie And Sons,Jessamine Apark,Winny Agnolo,Pc,96-0180648
Portugal,153029.72,125117.1,2020-01-28,Games,Friesen-Rath,Celine Tumasian,Corene Shirer,Pc,51-9029547
Sweden,174919.64,146845.04,2020-11-03,Clothing,Wiza And Sons,Maxie Marrow,Caro Morfield,Mobile,84-2614836
France,55804.05,46401.07,2019-03-05,Electronics,"Rowe, Hermiston And Kessler",Othello Bowes,Crysta Halls,Pc,57-6995715
France,89160.66,75367.51,2019-11-18,Beauty,Wiza And Sons,Othello Bowes,Crysta Halls,Pc,27-4115444
Uk,27987.13,24001.76,2019-03-26,Games,Labadie And Sons,Jessamine Apark,Genevra Charrisson,Pc,34-3302340
France,18326.41,15067.97,2019-02-03,Games,"Schmitt, Purdy And Johnson",Othello Bowes,Ora Grennan,Pc,25-6638623
Netherlands,62708.6,51414.78,2019-08-29,Smartphones,"Hamill, Kulas And Roob",Denice Amberg,Nero Harbisher,Pc,11-5260310
Uk,124668.36,103998.35,2020-11-05,Games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,Pc,68-5024232
Italy,109390.57,87414.0,2020-11-12,Other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,Mobile,90-2530115
Portugal,103279.79,82334.65,2020-03-12,Appliances,Johns And Sons,Celine Tumasian,Aurelie Wren,Pc,23-8271333
France,173478.65,139650.31,2019-01-29,Books,Johns And Sons,Othello Bowes,Avrit Chanders,Pc,99-7422044
Sweden,57927.54,48914.01,2019-01-18,Games,"Fisher, Morar And Skiles",Maxie Marrow,Alyosha Meah,Mobile,67-6692861
Portugal,84767.77,68950.1,2020-01-18,Electronics,Mcglynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,Mobile,20-3441688
France,138175.53,116744.51,2020-11-03,Other,"Spencer, Rogahn And Muller",Othello Bowes,Ora Grennan,Pc,80-8230605
Portugal,143107.89,121241.0,2020-11-02,Electronics,Kirlin And Sons,Celine Tumasian,Hortense Gerring,Mobile,18-0704377
Sweden,54446.5,44989.14,2020-03-09,Appliances,Wunsch Llc,Maxie Marrow,Alyosha Meah,Tablet,47-5524071
Portugal,136324.9,110436.8,2019-10-29,Electronics,Walter Llc,Celine Tumasian,Hortense Gerring,Tablet,76-2572347
Portugal,43066.58,36154.39,2019-02-08,Games,"Hamill, Kulas And Roob",Celine Tumasian,Hortense Gerring,Mobile,74-4429133
France,224626.25,189988.88,2020-07-21,Electronics,"Christiansen, Donnelly And Bechtelar",Othello Bowes,Ora Grennan,Pc,69-1300467
France,115689.22,98127.6,2019-07-15,Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,Pc,99-8643527
Bulgaria,78293.94,66236.67,2019-10-13,Appliances,"Rowe, Hermiston And Kessler",Charil Alpe,Bernadine Fullagar,Mobile,14-1143584
Portugal,92698.45,73454.25,2020-01-13,Clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,Pc,62-4331197
Bulgaria,83141.47,72000.51,2019-03-15,Outdoors,Wisoky Inc,Charil Alpe,Shermy Mcgready,Mobile,02-3333733
Portugal,38982.26,32854.25,2019-10-12,Clothing,Hegmann Group,Celine Tumasian,Smitty Culverhouse,Mobile,09-3959499
Portugal,57120.58,49654.92,2019-11-25,Games,"Leffler, Prohaska And Streich",Celine Tumasian,Aurelie Wren,Pc,55-7848276
Sweden,240759.07,205415.64,2020-06-14,Appliances,"Schmitt, Purdy And Johnson",Maxie Marrow,Tarrah Castelletti,Pc,98-1814878
Sweden,53849.12,47354.92,2020-04-15,Games,"Rowe, Hermiston And Kessler",Maxie Marrow,Alyosha Meah,Pc,83-9569509
Ireland,361182.87,288368.4,2019-12-02,Books,Smith Group,Glenine Suttaby,Bunnie Tonbridge,Pc,44-1953194
Sweden,97063.22,78067.95,2019-10-19,Appliances,"Zieme, Bailey And Herzog",Maxie Marrow,Madelon Bront,Tablet,50-0376562
Spain,39110.97,34315.97,2019-10-27,Clothing,"Bashirian, Okuneva And Bechtelar",Emalia Dinse,Perri Aldersley,Pc,06-9596696
France,123672.7,106036.97,2020-11-13,Smartphones,Mcglynn-Prosacco,Othello Bowes,Crysta Halls,Pc,46-2632808
France,144640.8,118345.1,2019-04-11,Electronics,"Murray, Reichel And Nolan",Othello Bowes,Avrit Chanders,Pc,77-7771177
France,268779.03,233676.49,2019-12-27,Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,Mobile,13-0624842
Sweden,53593.86,45629.81,2020-07-12,Electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,Pc,71-4409662
France,155044.02,134268.12,2019-10-25,Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,Pc,46-0270404
Portugal,102495.13,85009.46,2020-08-08,Smartphones,"Hermiston, Simonis And Wisoky",Celine Tumasian,Hortense Gerring,Tablet,70-7107956
Portugal,294472.77,255572.92,2019-06-11,Smartphones,Gislason-Stanton,Celine Tumasian,Smitty Culverhouse,Tablet,84-5310661
Sweden,64053.77,54733.95,2020-09-01,Beauty,Armstrong-Little,Maxie Marrow,Anita Woakes,Pc,75-6638402
Uk,24543.72,19492.62,2019-03-22,Clothing,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,Pc,53-0615558
Portugal,161544.06,132579.21,2019-09-12,Clothing,Johns And Sons,Celine Tumasian,Smitty Culverhouse,Pc,00-2549549
Portugal,50303.66,41103.12,2020-01-06,Appliances,"Christiansen, Donnelly And Bechtelar",Celine Tumasian,Smitty Culverhouse,Pc,23-1397222
Sweden,124593.04,109106.13,2020-01-11,Appliances,Johns And Sons,Maxie Marrow,Madelon Bront,Mobile,00-4698524
Sweden,44147.92,37163.72,2020-05-18,Beauty,"Murray, Reichel And Nolan",Maxie Marrow,Madelon Bront,Pc,76-3837496
Bulgaria,42239.66,37039.96,2019-05-17,Smartphones,Johns And Sons,Charil Alpe,Shermy Mcgready,Pc,61-7979087
Sweden,113763.38,91158.6,2020-04-01,Books,"Christiansen, Donnelly And Bechtelar",Maxie Marrow,Madelon Bront,Pc,52-8377955
Portugal,183363.6,155033.92,2019-06-24,Smartphones,Johns And Sons,Celine Tumasian,Hortense Gerring,Pc,87-6162387
France,85220.83,73767.15,2019-09-15,Beauty,"Shanahan, Schaden And Parker",Othello Bowes,Crysta Halls,Tablet,11-8965256
Portugal,87513.27,72469.74,2020-03-05,Books,"Lubowitz, Mclaughlin And Erdman",Celine Tumasian,Corene Shirer,Mobile,16-9079414
Bulgaria,37073.91,30274.55,2019-04-26,Books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,Tablet,15-9091881
France,122139.94,103684.6,2019-11-02,Smartphones,Smith Group,Othello Bowes,Ora Grennan,Pc,07-3222085
France,107586.21,94525.24,2020-06-07,Electronics,"Spencer, Rogahn And Muller",Othello Bowes,Amelina Piscopiello,Pc,20-3384992
Uk,203958.16,176444.2,2020-12-02,Appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,Pc,09-3404706
Portugal,55132.39,47121.65,2019-06-11,Clothing,"Dickinson, Hyatt And Berge",Celine Tumasian,Hortense Gerring,Pc,97-8712680
Ireland,135424.06,116275.1,2020-01-15,Electronics,"Hamill, Kulas And Roob",Glenine Suttaby,Palm Wetherald,Pc,43-4245267
Sweden,167123.72,132946.92,2019-08-01,Smartphones,Hegmann Group,Maxie Marrow,Alyosha Meah,Pc,58-8969119
Germany,92868.37,79068.13,2020-03-30,Electronics,"Fisher, Morar And Skiles",Rickard Doogood,Casie Macbain,Pc,88-8436664
Portugal,108689.45,91223.06,2019-11-09,Appliances,Walter Llc,Celine Tumasian,Brynn Dempster,Mobile,35-6825112
Portugal,79874.42,68132.88,2020-11-14,Outdoors,"Farrell, Swaniawski And Crist",Celine Tumasian,Smitty Culverhouse,Pc,24-4511396
Germany,153011.39,131543.89,2019-09-13,Appliances,Johns And Sons,Rickard Doogood,Casie Macbain,Pc,99-0564964
Portugal,72857.41,60442.51,2020-05-10,Clothing,Armstrong-Little,Celine Tumasian,Brynn Dempster,Pc,47-9920494
France,102771.44,83584.01,2019-11-24,Accessories,Mcclure Inc,Othello Bowes,Maighdiln Upcraft,Pc,82-9352154
Uk,90559.16,75318.05,2019-08-26,Outdoors,"Dickinson, Hyatt And Berge",Jessamine Apark,Genevra Charrisson,Pc,74-6920956
Portugal,141796.75,112317.21,2020-09-16,Games,Johns And Sons,Celine Tumasian,Corene Shirer,Pc,16-8778373
Bulgaria,103874.1,82112.48,2019-01-14,Outdoors,Johns And Sons,Charil Alpe,Shermy Mcgready,Pc,85-4014655
Spain,134908.19,114388.65,2020-08-18,Clothing,Romaguera-Dietrich,Emalia Dinse,Perri Aldersley,Pc,25-2355172
Portugal,45256.74,38975.1,2019-01-14,Other,"Spencer, Rogahn And Muller",Celine Tumasian,Smitty Culverhouse,Pc,31-7667796
Portugal,131018.65,107920.06,2020-04-02,Clothing,Hane Inc,Celine Tumasian,Brynn Dempster,Pc,39-2536155
Ireland,84877.87,68454.0,2019-12-01,Electronics,"Zieme, Bailey And Herzog",Glenine Suttaby,Bunnie Tonbridge,Pc,30-8840089
France,168197.78,144246.42,2019-01-13,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,Pc,93-8309926
Uk,383996.76,304701.43,2019-12-19,Other,Johns And Sons,Jessamine Apark,Winny Agnolo,Pc,42-7823733
France,56811.14,48221.3,2019-10-07,Clothing,"Schowalter, Lesch And Beahan",Othello Bowes,Ora Grennan,Pc,03-9337803
Portugal,74364.46,60145.98,2020-01-21,Clothing,Altenwerth-Konopelski,Celine Tumasian,Aurelie Wren,Mobile,42-1879788
Finland,235608.66,201468.96,2020-07-27,Games,Hegmann Group,Hube Corey,Wat Bowkley,Tablet,42-8394841
Sweden,31627.37,25662.45,2020-08-27,Beauty,"Christiansen, Donnelly And Bechtelar",Maxie Marrow,Caro Morfield,Mobile,84-5642889
Sweden,57227.99,46331.78,2019-03-28,Appliances,Johns And Sons,Maxie Marrow,Alyosha Meah,Pc,92-7234550
Portugal,84598.68,72391.09,2020-04-28,Clothing,"Hamill, Kulas And Roob",Celine Tumasian,Brynn Dempster,Pc,98-5721101
Sweden,98322.98,84872.4,2020-10-09,Clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,Pc,32-9344186
Netherlands,62567.58,49916.42,2019-04-21,Clothing,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,Pc,40-7356336
Sweden,239423.57,199152.52,2019-12-08,Electronics,"Hamill, Kulas And Roob",Maxie Marrow,Madelon Bront,Mobile,94-1762263
France,68773.03,59082.91,2019-09-30,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Pc,26-5649751
Germany,102918.09,87480.38,2019-10-28,Smartphones,"Swaniawski, Runolfsson And Green",Rickard Doogood,Casie Macbain,Pc,88-5343320
Uk,150313.19,118927.8,2020-01-23,Beauty,Johns And Sons,Jessamine Apark,Jay Morefield,Pc,09-6527060
Sweden,144072.9,123729.81,2019-07-13,Beauty,"Fisher, Morar And Skiles",Maxie Marrow,Anita Woakes,Pc,85-3431441
Sweden,69681.43,55529.13,2020-01-25,Clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,Pc,78-3301264
Sweden,78542.59,68010.03,2019-05-26,Games,Kihn Inc,Maxie Marrow,Caro Morfield,Pc,02-9523107
Portugal,37582.13,31967.36,2020-05-07,Appliances,Hilll-Vandervort,Celine Tumasian,Smitty Culverhouse,Mobile,19-9205287
Sweden,88329.48,73755.12,2020-08-16,Clothing,Corwin And Sons,Maxie Marrow,Caro Morfield,Mobile,94-1199389
Portugal,249099.44,215695.2,2020-06-15,Other,Johns And Sons,Celine Tumasian,Corene Shirer,Pc,88-4621939
Uk,28328.78,24408.08,2019-02-19,Clothing,"Dickinson, Hyatt And Berge",Jessamine Apark,Jay Morefield,Pc,68-9634139
Portugal,162246.76,142663.58,2019-08-28,Games,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,Pc,44-5200140
Germany,161217.16,135696.48,2019-10-20,Games,Labadie And Sons,Rickard Doogood,Casie Macbain,Pc,98-6247105
France,37397.43,30837.92,2020-05-17,Games,Hegmann Group,Othello Bowes,Avrit Chanders,Pc,24-6566439
Uk,99064.31,85393.44,2020-07-10,Books,Johns And Sons,Jessamine Apark,Winny Agnolo,Pc,52-9152387
Sweden,15817.05,13743.44,2019-03-10,Clothing,Kihn Inc,Maxie Marrow,Anita Woakes,Pc,26-9787272
Portugal,38930.16,32837.59,2020-11-18,Outdoors,"Spencer, Rogahn And Muller",Celine Tumasian,Brynn Dempster,Pc,12-2202467
Portugal,28859.73,23656.32,2019-01-09,Electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,Mobile,82-0537890
France,54079.04,45031.62,2020-05-29,Games,"Lueilwitz, Kerluke And Lesch",Othello Bowes,Avrit Chanders,Pc,15-6838362
Sweden,70596.7,60564.91,2020-02-09,Electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,Pc,51-0685379
Uk,169629.55,135347.42,2019-10-23,Outdoors,Johns And Sons,Jessamine Apark,Jay Morefield,Pc,76-5919033
Portugal,95387.89,76195.85,2020-05-08,Books,Gislason-Stanton,Celine Tumasian,Aurelie Wren,Pc,34-7627348
France,50585.98,40999.94,2020-08-29,Beauty,"Bashirian, Okuneva And Bechtelar",Othello Bowes,Maighdiln Upcraft,Tablet,32-1940437
Sweden,103726.57,90231.74,2020-05-21,Clothing,Dibbert Inc,Maxie Marrow,Caro Morfield,Mobile,25-9913528
Uk,222700.23,194951.78,2020-12-12,Appliances,Johns And Sons,Jessamine Apark,Genevra Charrisson,Mobile,73-3464233
Portugal,143322.47,114213.68,2020-05-19,Books,Johns And Sons,Celine Tumasian,Corene Shirer,Pc,04-2863062
Uk,128227.36,106710.81,2019-06-01,Accessories,"Murray, Reichel And Nolan",Jessamine Apark,Jay Morefield,Pc,18-7077174
Sweden,127939.8,112267.17,2019-12-09,Clothing,Gislason-Stanton,Maxie Marrow,Alyosha Meah,Pc,64-8300193
Sweden,146540.75,120822.85,2019-04-30,Smartphones,"Swaniawski, Runolfsson And Green",Maxie Marrow,Anita Woakes,Pc,84-2858993
Portugal,36321.68,31581.7,2020-10-29,Books,Kirlin And Sons,Celine Tumasian,Smitty Culverhouse,Pc,72-2647440
Spain,42814.57,35356.27,2019-02-01,Beauty,Wiza And Sons,Emalia Dinse,Perri Aldersley,Pc,68-1806238
Uk,169262.2,141080.04,2020-04-26,Beauty,Considine-Fisher,Jessamine Apark,Winny Agnolo,Pc,87-0922827
Sweden,114427.36,93727.45,2020-03-11,Other,Tillman And Sons,Maxie Marrow,Madelon Bront,Pc,33-8547717
Uk,126979.62,105113.73,2019-09-26,Electronics,Dibbert Inc,Jessamine Apark,Genevra Charrisson,Pc,15-5051694
Luxembourg,294874.74,259106.43,2020-12-15,Books,Morissette Group,Ilsa Kob,Jocelyn Laurentino,Pc,37-2363680
Uk,173258.94,143198.51,2019-05-24,Clothing,Johns And Sons,Jessamine Apark,Jay Morefield,Pc,92-4106004
Luxembourg,158362.33,133990.37,2020-08-14,Books,Hessel-Stiedemann,Ilsa Kob,Jocelyn Laurentino,Pc,39-1671087
Uk,50689.19,43597.77,2020-11-18,Clothing,"Swaniawski, Runolfsson And Green",Jessamine Apark,Jay Morefield,Pc,77-9240051
Ireland,117358.02,102664.8,2020-11-02,Clothing,Goldner-Dibbert,Glenine Suttaby,Palm Wetherald,Pc,79-8966057
Sweden,93996.68,77171.27,2020-10-10,Games,"Swaniawski, Runolfsson And Green",Maxie Marrow,Alyosha Meah,Mobile,75-0683725
Uk,119769.22,98234.71,2020-01-11,Books,"Bashirian, Okuneva And Bechtelar",Jessamine Apark,Jay Morefield,Pc,55-5032186
France,84194.21,71885.02,2020-12-26,Books,"Zieme, Bailey And Herzog",Othello Bowes,Avrit Chanders,Mobile,31-8836719
Finland,205582.75,166748.17,2020-12-22,Beauty,Tromp Llc,Hube Corey,Wat Bowkley,Pc,64-4923214
Sweden,159793.46,139180.1,2019-06-15,Smartphones,"Swaniawski, Runolfsson And Green",Maxie Marrow,Alyosha Meah,Tablet,98-2574776
Portugal,104711.22,90868.4,2020-08-25,Clothing,Marquardt-Kuvalis,Celine Tumasian,Corene Shirer,Pc,33-0729966
France,69126.5,55902.6,2019-12-08,Electronics,"Farrell, Swaniawski And Crist",Othello Bowes,Avrit Chanders,Pc,07-3201531
Sweden,20226.11,17408.61,2019-02-23,Electronics,Larkin-Collier,Maxie Marrow,Caro Morfield,Pc,21-3278349
France,65036.81,52361.14,2019-05-30,Other,Considine-Fisher,Othello Bowes,Amelina Piscopiello,Pc,50-1695443
France,254021.98,205605.39,2019-07-03,Clothing,Mcglynn-Prosacco,Othello Bowes,Maighdiln Upcraft,Pc,52-3693331
Luxembourg,160185.99,130487.51,2020-09-27,Accessories,"Zieme, Bailey And Herzog",Ilsa Kob,Jocelyn Laurentino,Pc,98-3033030
Uk,81219.67,70319.99,2020-05-20,Clothing,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Pc,34-5793997
Portugal,108412.76,88594.91,2019-08-03,Smartphones,Romaguera-Haley,Celine Tumasian,Corene Shirer,Mobile,52-7280101
Spain,42028.45,36299.97,2020-03-01,Other,Hessel-Stiedemann,Emalia Dinse,Perri Aldersley,Pc,55-3118263
Sweden,62272.96,54600.93,2019-02-20,Beauty,Romaguera-Haley,Maxie Marrow,Caro Morfield,Pc,58-9822844
Sweden,91350.76,75839.4,2019-02-04,Games,Tillman And Sons,Maxie Marrow,Alyosha Meah,Pc,51-5324396
Uk,123272.44,101576.49,2019-01-20,Clothing,"Christiansen, Donnelly And Bechtelar",Jessamine Apark,Genevra Charrisson,Tablet,99-5465830
Luxembourg,182852.21,145440.65,2019-12-28,Outdoors,Johns And Sons,Ilsa Kob,Jocelyn Laurentino,Pc,01-8696189
Portugal,118321.11,94822.54,2020-11-23,Electronics,Tillman And Sons,Celine Tumasian,Aurelie Wren,Tablet,20-7636879
Uk,74295.81,63716.09,2019-04-11,Games,"Keeling, Monahan And Pollich",Jessamine Apark,Genevra Charrisson,Pc,85-8092784
Uk,152865.34,121130.5,2020-12-06,Clothing,Konopelski Llc,Jessamine Apark,Genevra Charrisson,Pc,97-5905883
France,171458.64,148877.54,2019-08-16,Books,Mcglynn-Bergstrom,Othello Bowes,Crysta Halls,Pc,74-6473826
Uk,156177.77,130096.08,2019-12-24,Clothing,Johns And Sons,Jessamine Apark,Winny Agnolo,Pc,91-0416047
Portugal,116023.51,96566.37,2020-06-02,Smartphones,Tillman And Sons,Celine Tumasian,Smitty Culverhouse,Pc,34-0232219
France,70657.26,61330.5,2020-09-05,Other,"Rowe, Hermiston And Kessler",Othello Bowes,Maighdiln Upcraft,Pc,34-0783331
Netherlands,104152.15,85696.39,2019-05-06,Smartphones,"Swaniawski, Runolfsson And Green",Denice Amberg,Nero Harbisher,Mobile,30-8215510
Portugal,84224.98,68239.08,2019-01-21,Appliances,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Mobile,95-3196761
Portugal,172505.24,139125.48,2020-10-02,Accessories,Romaguera-Haley,Celine Tumasian,Brynn Dempster,Pc,99-3651863
Portugal,89830.34,76795.96,2019-04-19,Games,Johns And Sons,Celine Tumasian,Aurelie Wren,Tablet,94-8641337
Netherlands,353925.06,287528.72,2020-12-04,Clothing,Corwin And Sons,Denice Amberg,Nero Harbisher,Pc,36-2694099
France,141436.98,114691.25,2019-05-26,Outdoors,Walter Llc,Othello Bowes,Maighdiln Upcraft,Pc,40-5308505
Uk,178465.4,156282.15,2020-04-27,Accessories,Romaguera-Haley,Jessamine Apark,Winny Agnolo,Pc,68-8279682
Sweden,110092.84,92797.25,2020-06-29,Other,"Rowe, Hermiston And Kessler",Maxie Marrow,Anita Woakes,Tablet,50-2481520
Uk,154715.49,126572.74,2020-10-23,Electronics,Smith Group,Jessamine Apark,Genevra Charrisson,Pc,46-1054213
Sweden,92877.57,75936.7,2020-04-05,Electronics,Wisoky Inc,Maxie Marrow,Madelon Bront,Mobile,40-9497268
France,66141.13,53435.42,2019-05-26,Clothing,Stehr Llc,Othello Bowes,Ora Grennan,Pc,54-5107115
Germany,241782.39,196544.91,2020-06-09,Appliances,Johns And Sons,Rickard Doogood,Casie Macbain,Pc,15-7053450
Portugal,211872.69,177930.69,2019-07-23,Games,Johns And Sons,Celine Tumasian,Hortense Gerring,Mobile,36-2012010
Portugal,170408.23,143432.61,2020-11-03,Clothing,Romaguera-Haley,Celine Tumasian,Aurelie Wren,Mobile,61-7521706
Sweden,157683.41,130624.94,2019-06-08,Electronics,Hegmann Group,Maxie Marrow,Alyosha Meah,Tablet,17-0893784
Portugal,116157.89,97166.07,2019-11-14,Games,"Parisian, Steuber And Satterfield",Celine Tumasian,Hortense Gerring,Pc,23-5766200
France,56106.13,45081.27,2020-03-12,Electronics,"Rowe, Hermiston And Kessler",Othello Bowes,Amelina Piscopiello,Pc,24-3140242
Sweden,40385.45,32591.06,2020-07-15,Smartphones,Armstrong-Little,Maxie Marrow,Tarrah Castelletti,Pc,81-0573181
Uk,112491.58,92254.34,2019-10-24,Appliances,Hessel-Stiedemann,Jessamine Apark,Genevra Charrisson,Mobile,13-1936536
Finland,200635.57,172245.64,2019-12-11,Clothing,Larkin-Collier,Hube Corey,Wat Bowkley,Pc,94-8026718
Portugal,243176.92,202250.24,2020-07-03,Appliances,Gislason-Stanton,Celine Tumasian,Hortense Gerring,Pc,81-5976459
Portugal,52227.07,45124.19,2019-03-14,Books,"Farrell, Swaniawski And Crist",Celine Tumasian,Corene Shirer,Pc,28-6038070
Bulgaria,147672.87,129110.39,2019-10-15,Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,Pc,81-7970957
France,149500.61,125401.11,2020-07-24,Games,Mcglynn-Bergstrom,Othello Bowes,Crysta Halls,Pc,60-8646184
France,53089.52,44812.86,2019-08-24,Beauty,Goldner-Dibbert,Othello Bowes,Crysta Halls,Pc,32-2114915
France,85223.07,73002.08,2019-09-15,Beauty,"Hamill, Kulas And Roob",Othello Bowes,Maighdiln Upcraft,Pc,58-7865136
Denmark,58948.52,49416.54,2020-05-20,Clothing,Wisoky Inc,Modestia Byfford,Case Desorts,Pc,98-9112505
Portugal,165696.9,132275.84,2020-10-22,Electronics,Franecki-White,Celine Tumasian,Aurelie Wren,Pc,03-0455038
Sweden,177993.88,145029.41,2019-12-02,Outdoors,Johns And Sons,Maxie Marrow,Alyosha Meah,Tablet,71-0122842
France,108713.83,90341.19,2020-03-09,Clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,Pc,55-1395838
